res_expno,res_lbl_score,res_tst_score
0,0.96391,0.97627
1,0.97041,0.97438
2,0.96721,0.97172
3,0.97058,0.97484
4,0.96611,0.97623
5,0.96807,0.9739
6,0.96563,0.97569
7,0.96635,0.97732
8,0.97198,0.97359
9,0.96647,0.97734
10,0.9692,0.97653
11,0.96284,0.97606
12,0.97082,0.9756
13,0.96895,0.97444
14,0.96451,0.97802
