res_expno,res_lbl_score,res_tst_score
0,0.99977,0.9687
1,0.99977,0.96773
2,0.99977,0.967
3,0.99977,0.96788
4,0.99977,0.9701
5,0.99977,0.96592
6,0.99977,0.96956
7,0.99977,0.97103
8,0.99977,0.96908
9,0.99977,0.9705
10,0.99977,0.96943
11,0.99977,0.96844
12,0.99977,0.97101
13,0.99977,0.97055
14,0.99977,0.97051
